9 3 5 1 4 2 7 8 6 
6 1 8 3 7 9 2 5 4 
7 4 2 5 6 8 3 1 9 
3 6 1 2 8 4 9 7 5 
4 8 9 7 1 5 6 3 2 
2 5 7 9 3 6 1 4 8 
5 9 3 8 2 7 4 6 1 
8 7 4 6 9 1 5 2 3 
1 2 6 4 5 3 8 9 7 
True True True True True True True True True 
True True True True True True True True True 
True True True True True True True True True 
True True True True True True True True True 
True True True True True True True True True 
True True True True True True True True True 
True True True True True True True True True 
True True True True True True True True True 
True True True True True True True True True 
